,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
2096,Taila Santos,19,3,0,167.6,125,68,1,33,3.39,48,2.64,58,2.00,76,86,1.1
2097,Edivan Santos,12,3,1,193.0,248,78,1,34,1.55,48,7.09,26,0.00,0,25,0.0
2098,Daniel Santos,14,3,0,170.2,145,67,1,31,5.15,40,5.38,50,2.60,33,73,0.0
2099,Gabriel Santos,12,2,0,175.3,145,70,1,29,4.35,60,4.31,45,3.80,54,87,1.2
2100,Luana Santos,11,2,0,167.6,135,67,1,26,2.53,53,2.45,64,2.14,37,85,1.0
2101,Djorden Santos,11,3,0,182.9,185,75,1,29,6.64,42,6.35,48,0.51,28,85,0.0
2102,Mairon Santos,18,1,0,170.2,145,72,1,26,3.33,48,2.24,65,0.00,0,69,0.0
2103,Daniel Sarafian,10,6,0,175.3,185,73,1,44,2.23,46,3.10,58,0.36,7,53,0.7
2104,Jeka Saragih,14,5,0,172.7,145,69,1,31,2.75,50,2.82,40,2.17,80,66,0.5
2105,Gokhan Saricam,12,2,0,190.5,265,75,1,35,5.87,47,6.18,38,0.00,0,100,0.0
2106,Yuta Sasaki,21,6,2,177.8,125,71,2,36,2.16,41,2.50,50,3.03,43,41,1.2
2107,Paul Sass,14,2,0,182.9,155,73,1,38,0.53,26,1.90,51,0.53,16,33,7.4
2108,Keisuke Sasu,11,3,1,165.1,145,69,3,31,2.76,49,2.42,48,3.76,40,61,1.9
2109,Takashi Sato,16,7,0,177.8,170,73,2,36,2.21,41,3.73,44,0.76,37,60,0.0
2110,Shogo Sato,5,1,0,170.2,170,66,2,33,2.14,25,25.71,29,0.00,0,0,0.0
2111,Uran Satybaldiev,9,1,0,193.0,205,79,1,32,2.14,25,3.66,44,0.00,0,50,1.7
2112,Ben Saunders,22,13,2,188.0,170,77,1,43,3.23,50,3.58,51,0.20,40,66,1.3
2113,Christien Savoie,10,2,1,180.3,170,72,1,34,1.39,45,6.95,23,0.00,0,12,0.0
2114,Matt Sayles,8,4,0,170.2,155,68,1,32,4.83,41,2.81,61,0.36,16,81,0.7
2115,Mikheil Sazhiniani,13,3,0,182.9,205,71,1,29,2.27,28,3.03,52,0.00,0,100,0.0
2116,Eric Schafer,14,8,2,190.5,185,76,1,48,1.89,34,3.38,56,1.81,36,50,1.8
2117,Brendan Schaub,10,5,0,193.0,245,78,1,43,2.92,37,2.22,57,2.32,46,72,0.4
2118,Matheus Scheffel,14,7,0,188.0,205,75,1,33,1.33,36,3.00,47,0.00,0,100,0.0
2119,Ollie Schmid,4,3,0,182.9,145,71,1,25,3.23,30,7.90,45,0.00,0,0,0.0
2120,Matt Schnell,17,11,0,172.7,125,70,1,36,4.05,40,4.18,54,0.59,45,43,1.2
2121,Bailey Schoenfelder,5,1,0,190.5,265,76,1,28,0.00,0,9.86,53,0.00,0,0,0.0
2122,Wes Schultz,9,4,0,182.9,185,77,1,30,3.31,48,3.96,46,2.56,25,0,3.6
2123,Justin Scoggins,11,5,0,170.2,125,66,2,34,3.56,51,2.16,55,3.42,63,82,0.5
2124,Brad Scott,11,6,0,185.4,170,76,1,37,3.52,41,4.31,57,0.32,15,63,0.7
2125,Louis Lee Scott,10,0,0,172.7,135,70,1,26,5.35,58,0.81,71,2.43,66,100,0.0
2126,Zachary Scroggin,7,1,0,190.5,170,74,1,30,2.40,37,8.80,68,0.00,0,0,0.0
2127,Demba Seck,10,3,0,185.4,145,74,1,33,1.50,40,5.25,22,0.00,0,60,0.0
2128,Neil Seery,16,13,0,162.6,125,64,1,47,3.56,41,3.79,58,0.78,27,53,1.6
2129,Stefan Sekulic,12,4,0,182.9,170,75,2,34,1.83,50,2.83,64,2.00,33,25,0.5
2130,Pete Sell,10,7,0,180.3,170,75,1,44,2.60,42,3.65,51,0.91,21,47,0.9
2131,Matthew Semelsberger,11,8,0,185.4,170,75,3,33,3.77,42,4.24,54,1.01,57,45,0.4
2132,Mackens Semerzier,8,4,0,175.3,145,72,1,45,2.91,45,3.48,46,2.14,50,50,2.1
2133,YeDam Seo,7,4,0,160.0,115,63,1,34,1.07,27,2.40,58,0.50,20,42,0.0
2134,DongHyun Seo,7,3,1,170.2,145,67,1,36,4.91,63,3.35,41,0.00,0,0,0.0
2135,Alex Serdyukov,8,5,0,188.0,170,74,1,46,4.94,48,3.10,46,1.84,55,67,1.8
2136,Matt Serra,11,7,0,167.6,170,68,1,52,1.98,39,2.64,46,2.05,20,38,0.9
2137,Fredy Serrano,3,2,0,160.0,125,65,1,46,1.58,26,1.89,61,2.84,25,84,0.0
2138,Igor Severino,8,1,0,170.2,125,69,1,23,7.17,52,4.33,47,9.69,71,50,0.0
2139,Rodrigo Sezinando,9,2,0,175.3,170,71,1,28,2.25,27,8.76,42,3.37,25,66,0.0
2140,Edmen Shahbazyan,16,6,0,188.0,185,74,1,28,4.06,48,3.87,50,1.43,36,66,0.4
2141,Leon Shahbazyan,12,5,0,193.0,170,74,1,30,6.10,52,8.45,33,1.41,50,0,0.0
2142,Don Shainis,12,5,0,167.6,145,67,1,35,3.42,50,5.87,31,0.97,25,20,1.9
2143,Liliya Shakirova,8,2,0,162.6,125,65,1,34,2.70,30,2.58,74,0.00,0,0,0.0
2144,Kamal Shalorus,9,5,2,172.7,155,68,1,54,3.06,32,2.99,70,2.07,50,80,0.0
2145,Ken Shamrock,28,17,2,185.4,205,72,1,62,1.47,46,4.30,39,0.94,60,44,2.5
2146,Shang Zhifa,32,8,0,170.2,125,63,1,40,1.27,32,1.27,60,2.00,100,0,0.0
2147,Sean Sharaf,4,2,0,190.5,252,77,1,33,7.41,43,15.00,42,0.93,11,0,0.0
2148,Priya Sharma,5,2,0,154.9,115,59,1,35,1.33,16,3.20,40,0.00,0,55,0.0
2149,Eric Shelton,12,6,0,167.6,125,68,1,35,2.57,42,1.88,63,2.83,51,46,0.2
2150,Sean Sherk,36,4,1,167.6,155,67,1,53,2.17,35,2.71,55,4.09,46,56,0.4
2151,Chase Sherman,16,12,0,193.0,250,78,1,36,6.04,45,6.65,52,0.09,50,74,0.0
2152,Valentina Shevchenko,26,4,1,165.1,125,66,2,38,3.04,52,2.00,63,2.65,61,76,0.3
2153,Antonina Shevchenko,10,4,0,172.7,125,67,2,41,3.86,55,2.93,52,0.43,42,53,0.4
2154,Shi Ming,18,6,0,157.5,115,60,1,31,3.09,37,2.92,52,1.02,36,60,0.2
